event_name,r_fighter,b_fighter,weight_class,is_title_bout
UFC 190: Rousey vs Correia,Ronda Rousey,Bethe Correia,UFC Women's Bantamweight Title,1
UFC 190: Rousey vs Correia,Glaico Franca Moreira,Fernando Bruno,Ultimate Fighter Brazil 4 Lightweight Tournament Title,1
UFC 190: Rousey vs Correia,Reginaldo Vieira,Dileno Lopes,Ultimate Fighter Brazil 4 Bantamweight Tournament Title,1
UFC on FOX: Dillashaw vs. Barao II,TJ Dillashaw,Renan Barao,UFC Bantamweight Title,1
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Kamaru Usman,Hayder Hassan,Ultimate Fighter 21 Welterweight Tournament Title,1
UFC 189: Mendes vs McGregor,Chad Mendes,Conor McGregor,UFC Interim Featherweight Title,1
UFC 189: Mendes vs McGregor,Robbie Lawler,Rory MacDonald,UFC Welterweight Title,1
UFC Fight Night: Jedrzejczyk vs Penne,Joanna Jedrzejczyk,Jessica Penne,UFC Women's Strawweight Title,1
UFC 188: Velasquez vs Werdum,Cain Velasquez,Fabricio Werdum,UFC Heavyweight Title,1
UFC 187: Johnson vs Cormier,Anthony Johnson,Daniel Cormier,UFC Light Heavyweight Title,1
UFC 187: Johnson vs Cormier,Chris Weidman,Vitor Belfort,UFC Middleweight Title,1
UFC 186: Johnson vs Horiguchi,Demetrious Johnson,Kyoji Horiguchi,UFC Flyweight Title,1
UFC 185: Pettis vs Dos Anjos,Anthony Pettis,Rafael Dos Anjos,UFC Lightweight Title,1
UFC 185: Pettis vs Dos Anjos,Carla Esparza,Joanna Jedrzejczyk,UFC Women's Strawweight Title,1
UFC 184: Rousey vs Zingano,Ronda Rousey,Cat Zingano,UFC Women's Bantamweight Title,1
UFC 182: Jones vs Cormier,Jon Jones,Daniel Cormier,UFC Light Heavyweight Title,1
The Ultimate Fighter: A Champion Will Be Crowned Finale,Carla Esparza,Rose Namajunas,UFC Women's Strawweight Title,1
UFC 181: Hendricks vs Lawler II,Johny Hendricks,Robbie Lawler,UFC Welterweight Title,1
UFC 181: Hendricks vs Lawler II,Anthony Pettis,Gilbert Melendez,UFC Lightweight Title,1
UFC 180: Werdum vs Hunt,Fabricio Werdum,Mark Hunt,UFC Interim Heavyweight Title,1
UFC 180: Werdum vs Hunt,Yair Rodriguez,Leonardo Morales,Ultimate Fighter Latin America Featherweight Tournament Title,1
UFC 180: Werdum vs Hunt,Alejandro Perez,Jose Quinonez,Ultimate Fighter Latin America Bantamweight Tournament Title,1
UFC 179: Aldo vs Mendes 2,Jose Aldo,Chad Mendes,UFC Featherweight Title,1
UFC 178: Johnson vs Cariaso,Demetrious Johnson,Chris Cariaso,UFC Flyweight Title,1
UFC 177: Dillashaw vs Soto,TJ Dillashaw,Joe Soto,UFC Bantamweight Title,1
UFC Fight Night: Bisping vs Le,Guangyou Ning,Jianping Yang,Ultimate Fighter China Featherweight Tournament Title,1
The Ultimate Fighter: Team Edgar vs. Team Penn Finale,Corey Anderson,Matt Van Buren,Ultimate Fighter 19 Light Heavyweight Tournament Title,1
The Ultimate Fighter: Team Edgar vs. Team Penn Finale,Dhiego Lima,Eddie Gordon,Ultimate Fighter 19 Middleweight Tournament Title,1
UFC 175: Weidman vs Machida,Chris Weidman,Lyoto Machida,UFC Middleweight Title,1
